End of Period,Loan Number,Region,Country Code,Country,Borrower,Guarantor Country Code,Guarantor,Loan Type,Loan Status,Interest Rate,Currency of Commitment,Project ID,Project Name,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IBRD,Due to IBRD,Exchange Adjustment,Borrower's Obligation,Sold 3rd Party,Repaid 3rd Party,Due 3rd Party,Loans Held,First Repayment Date,Last Repayment Date,Agreement Signing Date,Board Approval Date,Effective Date (Most Recent),Closed Date (Most Recent),Last Disbursement Date
06/30/2020,IBRD13090,LATIN AMERICA AND CARIBBEAN,BR,Brazil,CEFED,BR,Brazil,NPL,Fully Repaid,8.85,,P006284,W/SUPPLY-MINAS GERAI,40000000.00,0.00,0.00,40000000.00,39400000.00,0.00,0.00,0.00,600000.00,600000.00,0.00,0.00,09/01/1979,03/01/1996,08/27/1976,07/06/1976,01/18/1977,09/30/1982,
06/30/2020,IBRD13170,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,8.85,,P006279,AGRIC.EXPORT IND. II,83000000.00,33356122.91,0.00,49643877.09,49643877.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/01/1981,08/01/1991,09/22/1976,07/15/1976,03/25/1977,12/31/1983,
06/30/2020,IBRD13430,LATIN AMERICA AND CARIBBEAN,BR,Brazil,CENTRAIS ELETRICAS DO SUL,BR,Brazil,NPL,Fully Repaid,8.7,,P006283,ELETROSUL TRANSMISSI,82000000.00,11581213.48,0.00,70418786.52,70168786.52,0.00,0.00,0.00,250000.00,250000.00,0.00,0.00,12/01/1980,12/01/1993,02/23/1977,11/23/1976,06/13/1977,12/31/1982,
06/30/2020,IBRD13620,LATIN AMERICA AND CARIBBEAN,BR,Brazil,State of Minas Gerais,BR,Brazil,NPL,Fully Repaid,8.7,,P006278,MINAS GERAIS DEVT.I,42000000.00,947182.72,0.00,41052817.28,41052817.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,08/01/1982,02/01/1994,02/23/1977,01/11/1977,06/29/1977,12/31/1984,
06/30/2020,IBRD14060,LATIN AMERICA AND CARIBBEAN,BR,Brazil,"PETROBAS FERTILIZANTES, S.A.",BR,Brazil,NPL,Fully Repaid,8.2,,P006281,FERTILIZER II,64000000.00,12001426.16,0.00,51998573.84,51998573.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12/01/1981,06/01/1992,04/29/1977,04/19/1977,08/31/1977,05/31/1983,
06/30/2020,IBRD14110,LATIN AMERICA AND CARIBBEAN,BR,Brazil,FERTILIZANTES FOSFATADOS S.A. FOSTERTIL,BR,Brazil,NPL,Fully Repaid,8.2,,P006282,FERTILIZER III,82000000.00,27361579.16,0.00,54638420.84,54638420.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/01/1980,04/01/1992,04/29/1977,04/26/1977,07/29/1977,06/30/1984,
06/30/2020,IBRD14520,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,8.2,,P006280,EDUCATION III,32000000.00,1087082.35,0.00,30912917.65,30912917.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,04/01/1981,04/01/1994,09/07/1977,06/09/1977,04/05/1978,06/30/1985,
06/30/2020,IBRD14880,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,8,,P006286,RURAL DEVT-CEARA,17000000.00,7929628.83,0.00,9070371.17,9070371.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/01/1981,09/01/1992,11/17/1977,09/13/1977,03/28/1978,12/31/1985,
06/30/2020,IBRD15250,LATIN AMERICA AND CARIBBEAN,BR,Brazil,CEFED,BR,Brazil,NPL,Fully Repaid,7.45,,P006293,SAO PAULO SGE TREATM,110000000.00,57463202.44,0.00,52536797.56,52536797.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12/01/1981,06/01/1993,03/10/1978,02/28/1978,08/07/1978,09/30/1984,
06/30/2020,IBRD15370,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,7.45,,P006285,RURAL DEVT - PARAIBA,24000000.00,12510475.97,0.00,11489524.03,11489524.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12/01/1981,06/01/1993,05/08/1978,03/28/1978,10/19/1978,09/30/1986,
06/30/2020,IBRD15380,LATIN AMERICA AND CARIBBEAN,BR,Brazil,ELETROBRAS,BR,Brazil,NPL,Fully Repaid,7.45,,P006290,POWER DISTRIBUTION-S,130000000.00,4941678.46,0.00,125058321.50,125058321.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/01/1982,07/01/1993,05/08/1978,03/28/1978,09/14/1978,12/31/1985,10/10/1986
06/30/2020,IBRD15570,LATIN AMERICA AND CARIBBEAN,BR,Brazil,CHEFE DA DIVISAO FINANCIERA,BR,Brazil,NPL,Fully Repaid,7.5,,P006291,HIGHWAYS VI,114000000.00,9841977.26,0.00,104158022.70,104158022.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1981,04/15/1993,05/08/1978,04/27/1978,10/13/1978,06/30/1985,
06/30/2020,IBRD15620,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA PETROQUIMICA DO SUL,BR,Brazil,NPL,Fully Repaid,7.5,,P006289,PETROCHEMICALS I,85000000.00,0.00,0.00,85000000.00,85000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/01/1982,08/01/1993,07/06/1978,05/09/1978,10/30/1978,12/31/1984,
06/30/2020,IBRD15630,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,7.5,,P006292,URBAN MASS TRANSPORT,88000000.00,0.00,0.00,88000000.00,88000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12/15/1981,06/15/1993,05/22/1978,05/09/1978,09/01/1978,03/30/1984,06/27/1984
06/30/2020,IBRD15680,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,7.5,,P006288,AGRICULTURAL EXTENSI,100000000.00,0.00,0.00,100000000.00,100000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/15/1982,08/15/1993,05/22/1978,05/16/1978,09/22/1978,12/31/1985,
06/30/2020,IBRD15890,LATIN AMERICA AND CARIBBEAN,BR,Brazil,BANCO CENTRAL DO BRASIL,BR,Brazil,NPL,Fully Repaid,7.5,,P006287,INTEGRATED R/D IV-BA,37000000.00,10632048.43,0.00,26367951.57,26367951.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/01/1982,09/01/1993,07/19/1978,06/06/1978,12/05/1978,12/31/1985,
06/30/2020,IBRD16540,LATIN AMERICA AND CARIBBEAN,BR,Brazil,CEFED,BR,Brazil,NPL,Fully Repaid,7,,P006300,SITES AND SERVICES,93000000.00,0.00,0.00,93000000.00,93000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,09/01/1982,03/01/1994,02/08/1979,01/23/1979,07/09/1979,12/31/1984,
06/30/2020,IBRD16560,LATIN AMERICA AND CARIBBEAN,BR,Brazil,CEFED,BR,Brazil,NPL,Fully Repaid,7,,P006302,WATER SUPPLY & SEWER,100000000.00,0.00,0.00,100000000.00,100000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,09/01/1982,03/01/1994,02/08/1979,01/30/1979,07/10/1979,12/31/1985,
06/30/2020,IBRD16600,LATIN AMERICA AND CARIBBEAN,BR,Brazil,VALESUL ALUMINIO S.A.,BR,Brazil,NPL,Fully Repaid,7,,P006297,VALESUL ALUMINUM SME,98000000.00,19216400.00,0.00,78783600.00,78783600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11/01/1982,05/01/1994,03/07/1979,03/06/1979,08/06/1979,01/31/1983,
06/30/2020,IBRD17140,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,7.9,,P006296,INTEG. RURAL DEVT. V,26000000.00,15950809.43,0.00,10049190.57,10049190.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/01/1983,09/01/1994,06/20/1979,05/31/1979,02/05/1980,09/30/1985,06/02/1986
06/30/2020,IBRD17200,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,7.9,,P006301,MEDIUM CITIES DEVT,70000000.00,0.00,0.00,70000000.00,70000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1982,04/15/1994,06/20/1979,06/07/1979,05/02/1980,12/31/1986,08/26/1987
06/30/2020,IBRD17210,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA PARANAENSE DE,BR,Brazil,NPL,Fully Repaid,7.9,,P006298,COPEL II DIST,86700000.00,45657.00,0.00,86654343.00,86654343.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/15/1983,08/15/1994,06/20/1979,06/07/1979,11/21/1979,06/30/1987,12/10/1989
06/30/2020,IBRD17215,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA PARANAENSE DE,BR,Brazil,CPL,Fully Repaid,6.63,,P006298,COPEL II DIST,22300000.00,984849.80,0.00,21315150.20,21315150.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/15/1983,08/15/1994,07/24/1986,06/07/1979,07/24/1986,06/30/1987,08/22/1989
06/30/2020,IBRD17280,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,7.9,,P006295,RURAL DEVT V-PERNAMB,40000000.00,12966628.07,0.00,27033371.94,27033371.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/01/1983,09/01/1994,06/20/1979,06/14/1979,02/05/1980,12/31/1986,08/08/1989
06/30/2020,IBRD17290,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,7.9,,P006294,SAO FRN II - RURAL D,28000000.00,0.00,0.00,28000000.00,28000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1983,09/15/1994,06/20/1979,06/19/1979,01/23/1980,06/30/1987,06/16/1987
06/30/2020,IBRD17291,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,6.63,,P006294,SAO FRN II - RURAL D,7700000.00,211901.26,0.00,7488098.74,7488098.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1986,09/15/1994,12/14/1983,12/08/1983,05/30/1984,06/30/1988,03/06/1989
06/30/2020,IBRD17300,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,7.9,,P006299,SECONDARY&FEEDER RDS,2138265.00,0.00,0.00,2138265.00,2138265.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11/01/1982,05/01/1994,06/20/1979,06/19/1979,12/17/1979,11/20/1981,
06/30/2020,IBRD17305,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,7.9,,P006299,SECONDARY&FEEDER RDS,107861735.00,0.00,0.00,107861735.00,107861735.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11/01/1982,05/01/1994,08/24/1981,06/19/1979,11/20/1981,12/31/1986,
06/30/2020,IBRD18220,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Cancelled,8.25,,P006304,SAO PAULO POLLUT CTL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,09/01/1983,03/01/1995,04/14/1980,03/27/1980,01/15/1981,01/22/1982,
06/30/2020,IBRD18225,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,8.25,,P006304,SAO PAULO POLLUT CTL,58000000.00,24000000.00,0.00,34000000.00,34000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,09/01/1983,03/01/1995,01/06/1982,03/27/1980,01/22/1982,06/30/1986,
06/30/2020,IBRD18230,LATIN AMERICA AND CARIBBEAN,BR,Brazil,CEFED,BR,Brazil,NPL,Fully Repaid,8.25,,P006308,W/S & SEWERAGE-SOUTH,130000000.00,0.00,0.00,130000000.00,130000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/01/1983,04/01/1995,04/14/1980,03/27/1980,10/08/1980,12/31/1985,
06/30/2020,IBRD18240,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA ESTADUAL DE ENERGIA,BR,Brazil,NPL,Fully Repaid,8.25,,P006306,CEEE DISTRIBUTION,114000000.00,73147672.62,0.00,40852327.38,40852327.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1983,04/15/1995,04/14/1980,03/27/1980,07/15/1980,09/30/1984,07/27/1990
06/30/2020,IBRD18390,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,8.25,,P006307,URBAN TRANS II-RAIL,159000000.00,26863814.31,0.00,132136185.70,132136185.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11/15/1983,05/15/1995,06/02/1980,05/06/1980,12/09/1980,12/31/1986,09/11/1989
06/30/2020,IBRD18500,LATIN AMERICA AND CARIBBEAN,BR,Brazil,CEFED,BR,Brazil,NPL,Fully Repaid,8.25,,P006309,THIRD MINAS GERAIS W,139000000.00,0.00,0.00,139000000.00,139000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/15/1984,07/15/1995,07/18/1980,05/22/1980,05/28/1981,12/31/1986,02/03/1988
06/30/2020,IBRD18670,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,8.25,,P006305,EDUCATION IV,32000000.00,0.00,0.00,32000000.00,32000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11/01/1983,05/01/1995,07/18/1980,06/10/1980,05/12/1981,09/01/1987,06/01/1989
06/30/2020,IBRD18770,LATIN AMERICA AND CARIBBEAN,BR,Brazil,State of Minas Gerais,BR,Brazil,NPL,Fully Repaid,8.25,,P006303,MINAS GERAIS II R/D,63000000.00,30703480.81,0.00,32296519.19,32296519.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/15/1984,08/15/1995,09/15/1980,06/19/1980,12/16/1980,12/31/1987,12/16/1988
06/30/2020,IBRD18950,LATIN AMERICA AND CARIBBEAN,BR,Brazil,CENTRAIS ELETRICAS DO SUL,BR,Brazil,NPL,Fully Repaid,8.25,,P006314,ELETROSUL TRANSMISSI,125000000.00,39550000.00,0.00,85450000.00,85450000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1984,09/15/1995,10/06/1980,07/22/1980,12/16/1980,12/31/1986,
06/30/2020,IBRD19240,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,9.25,,P006310,CEARA II INTERGRATED,56000000.00,7887109.90,0.00,48112890.10,48112890.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,05/01/1984,11/01/1995,01/14/1981,12/02/1980,07/07/1981,12/31/1987,07/20/1990
06/30/2020,IBRD19390,LATIN AMERICA AND CARIBBEAN,BR,Brazil,ELETROBRAS,BR,Brazil,CPL,Fully Repaid,9.25,,P006315,POWER SYSTEM COORDIN,54000000.00,13436.22,0.00,53986563.78,53986563.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,08/15/1984,02/15/1996,01/14/1981,12/23/1980,08/05/1981,12/31/1989,05/18/1990
06/30/2020,IBRD19650,LATIN AMERICA AND CARIBBEAN,BR,Brazil,EMPRESA BRASIL. DOS TRANSPORTS,BR,Brazil,CPL,Fully Repaid,9.6,,P006316,URBAN TRANSPORT III,90000000.00,0.00,0.00,90000000.00,90000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,09/15/1984,03/15/1996,06/05/1981,03/31/1981,10/20/1981,12/31/1986,
06/30/2020,IBRD19700,LATIN AMERICA AND CARIBBEAN,BR,Brazil,CEFED,BR,Brazil,CPL,Fully Repaid,9.6,,P006317,MULTISTATE WATER & S,180000000.00,0.00,0.00,180000000.00,180000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1984,04/15/1996,05/18/1981,04/21/1981,12/15/1981,12/31/1987,12/08/1988
06/30/2020,IBRD19890,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,9.6,,P006313,ALCOHOL & BIOMASS EN,250000000.00,26716219.94,0.00,223283780.10,223283780.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11/15/1984,05/15/1996,06/12/1981,05/12/1981,11/10/1981,03/31/1987,03/14/1989
06/30/2020,IBRD20150,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,9.6,,P006311,PIAUI RURAL DEVT,29000000.00,12026145.25,0.00,16973854.75,16973854.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/15/1985,08/15/1996,08/10/1981,06/16/1981,02/05/1982,12/31/1986,10/20/1987
06/30/2020,IBRD20160,LATIN AMERICA AND CARIBBEAN,BR,Brazil,EMPRESA BRASILEIRA DE PESQUISA AGROPECUA,BR,Brazil,CPL,Fully Repaid,9.6,,P006312,AGRICULTURAL RESEARC,60000000.00,463.01,0.00,59999536.99,59999536.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/15/1985,07/15/1996,07/08/1981,06/16/1981,12/08/1981,12/31/1987,12/12/1988
06/30/2020,IBRD20600,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,11.6,,P006319,NW DEVT I - AGRICULT,67000000.00,0.00,0.00,67000000.00,67000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,06/15/1985,12/15/1996,12/15/1981,12/01/1981,04/26/1982,03/31/1990,07/31/1990
06/30/2020,IBRD20601,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,7.2,,P006319,NW DEVT I - AGRICULT,22800000.00,18312359.65,0.00,4487640.35,4487640.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,06/15/1986,12/15/1996,12/14/1983,12/08/1983,05/30/1984,03/31/1990,09/06/1990
06/30/2020,IBRD20610,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,11.6,,P006322,NW DEVT I - HEALTH,13000000.00,1012009.18,0.00,11987990.82,11987990.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,06/15/1985,12/15/1996,12/15/1981,12/01/1981,04/26/1982,06/30/1988,08/08/1989
06/30/2020,IBRD20620,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,11.6,,P006324,NW DEVT I - HIGHWAYS,240000000.00,42059047.69,0.00,197940952.30,197940952.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,06/15/1985,12/15/1996,12/15/1981,12/01/1981,04/26/1982,09/30/1988,12/13/1989
06/30/2020,IBRD21160,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,11.6,,P006320,NW DEVT II-MATO GROS,26400000.00,3730756.42,0.00,22669243.58,22669243.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12/15/1985,06/15/1997,05/12/1982,03/25/1982,08/09/1982,12/31/1988,12/29/1989
06/30/2020,IBRD21380,LATIN AMERICA AND CARIBBEAN,BR,Brazil,ELETROBRAS,BR,Brazil,CPL,Fully Repaid,11.6,,P006323,ELETROBRAS DISTRIBUT,182700000.00,10558506.08,0.00,172141493.90,172141493.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12/01/1985,06/01/1997,05/12/1982,05/11/1982,10/25/1982,12/31/1989,09/04/1990
06/30/2020,IBRD21630,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,11.6,,P006321,AMAZONAS RURAL DEVT,26400000.00,1896148.82,0.00,24503851.18,24503851.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12/01/1985,06/01/1997,06/25/1982,05/27/1982,11/29/1982,12/31/1990,07/11/1991
06/30/2020,IBRD21700,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,11.6,,P006325,RECIFE INTEGRATED UR,123900000.00,15944283.41,0.00,107955716.60,107955716.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12/01/1985,06/01/1997,06/28/1982,06/03/1982,11/24/1982,12/31/1989,05/02/1990
06/30/2020,IBRD21770,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,11.6,,P006318,MARANHAO R/D,42700000.00,11011520.09,0.00,31688479.91,31688479.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/15/1986,08/15/1997,06/25/1982,06/10/1982,05/10/1983,12/31/1988,11/13/1989
06/30/2020,IBRD21930,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,11.6,,P006331,NE METROPOLITAN DEVT,8900000.00,3251294.21,0.00,5648705.79,5648705.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12/01/1985,06/01/1997,08/13/1982,08/03/1982,12/10/1982,06/30/1985,
06/30/2020,IBRD21960,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA VALE DO RIO DOCE,BR,Brazil,CPL,Fully Repaid,11.6,,P006329,CARAJAS IRON ORE,304500000.00,73627316.79,0.00,230872683.20,230872683.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,04/15/1986,10/15/1997,08/13/1982,08/10/1982,11/12/1982,12/31/1987,04/03/1989
06/30/2020,IBRD22240,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.11,,P006330,FEEDER ROADS III,154000000.00,15693798.82,0.00,138306201.20,138306201.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,07/15/1987,01/15/1996,12/21/1982,12/21/1982,06/21/1983,12/31/1989,06/07/1990
06/30/2020,IBRD22250,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,6.18,,P006328,DEVELOPMENT BANKING,220000000.00,0.00,0.00,220000000.00,220000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,07/15/1986,01/15/1998,12/21/1982,12/21/1982,03/23/1983,12/31/1986,01/04/1990
06/30/2020,IBRD22490,LATIN AMERICA AND CARIBBEAN,BR,Brazil,CEFED,BR,Brazil,CPL,Fully Repaid,6.36,,P006332,WATER AND SEWERAGE S,302300000.00,0.00,0.00,302300000.00,302300000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11/15/1986,05/15/1998,03/30/1983,03/22/1983,07/27/1983,09/30/1989,08/16/1989
06/30/2020,IBRD22680,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,6.36,,P006327,AGRO-INDUSTRIES III,400000000.00,7725174.31,0.00,392274825.70,392274825.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12/01/1986,06/01/1998,05/25/1983,04/26/1983,06/24/1983,12/31/1989,02/02/1990
06/30/2020,IBRD22690,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,7.21,,P006326,BAHIA R/D II,67800000.00,47200000.00,0.00,20600000.00,20600000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12/15/1986,06/15/1998,05/23/1983,04/26/1983,07/20/1983,12/31/1989,01/28/1991
06/30/2020,IBRD23430,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,6.18,,P006343,PARANA MARKET TOWNS,52700000.00,773077.96,0.00,51926922.04,51926922.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,05/15/1987,11/15/1998,10/05/1983,08/23/1983,03/15/1984,12/31/1988,07/27/1989
06/30/2020,IBRD23470,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,6.18,,P006336,EXPORT DEVT I (AP),352000000.00,721172.77,0.00,351278827.20,351278827.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,05/01/1987,11/01/1998,10/05/1983,10/04/1983,10/06/1983,12/31/1986,12/21/1989
06/30/2020,IBRD23480,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,6.03,,P006333,AG CREDIT/EXP DEVT (,303000000.00,1057559.07,0.00,301942440.90,301942440.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,04/15/1987,10/15/1998,10/05/1983,10/04/1983,10/06/1983,03/31/1987,07/20/1990
06/30/2020,IBRD23530,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,6.18,,P006334,NW DEVT III-NEW SETT,65200000.00,28361524.62,0.00,36838475.38,36838475.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,06/15/1987,12/15/1998,11/03/1983,10/25/1983,02/22/1984,03/31/1992,08/18/1992
06/30/2020,IBRD23640,LATIN AMERICA AND CARIBBEAN,BR,Brazil,ELETROBRAS,BR,Brazil,CPL,Fully Repaid,5.59,,P006340,ELETROBRAS DISTRIBUT,250600000.00,13576413.26,0.00,237023586.70,237023586.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,08/15/1987,02/15/1999,12/14/1983,12/08/1983,05/21/1984,12/31/1991,05/28/1992
06/30/2020,IBRD23650,LATIN AMERICA AND CARIBBEAN,BR,Brazil,ELETROBRAS,BR,Brazil,CPL,Fully Repaid,5.59,,P006341,RURAL ELECTRIFICATIO,222800000.00,806565.54,0.00,221993434.50,221993434.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,08/15/1987,02/15/1999,12/14/1983,12/08/1983,03/20/1984,06/30/1990,09/18/1991
06/30/2020,IBRD23660,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.21,,P006337,EDUCATION V-AGRIC &,20000000.00,6457157.89,0.00,13542842.11,13542842.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,07/15/1987,01/15/1999,12/14/1983,12/08/1983,04/19/1984,06/30/1990,03/28/1991
06/30/2020,IBRD24120,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.21,,P006338,EDUCATION VI-CW & N,40000000.00,9426914.01,0.00,30573085.99,30573085.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/15/1988,08/15/1999,07/30/1984,05/17/1984,12/28/1984,02/28/1991,07/17/1991
